Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades
BAJFINANCE,EQ,01-Jan-14,1581.25,1560,1615,1560,1567.8,1570.3,1587.75,11995,19045078.3,1017
BAJFINANCE,EQ,02-Jan-14,1570.3,1570.5,1580.05,1558.8,1574,1569.2,1567.32,6973,10928898.65,559
BAJFINANCE,EQ,03-Jan-14,1569.2,1571.8,1604,1538.65,1604,1555.5,1556.95,51282,79843391.4,12191
BAJFINANCE,EQ,06-Jan-14,1555.5,1571.15,1580,1530.1,1550,1551.45,1555.01,47696,74167602.7,9714
BAJFINANCE,EQ,07-Jan-14,1551.45,1555.25,1571.9,1545.3,1547,1554.05,1554.36,22539,35033818.65,1167
BAJFINANCE,EQ,08-Jan-14,1554.05,1560.75,1560.75,1545,1555,1555.45,1554.93,17568,27317043.45,1519
BAJFINANCE,EQ,09-Jan-14,1555.45,1546.1,1557.8,1537,1551,1550.35,1548.69,31882,49375340.95,1851
BAJFINANCE,EQ,10-Jan-14,1550.35,1559.8,1564.5,1549.15,1561.9,1560.55,1555.88,21839,33978845,3919
BAJFINANCE,EQ,13-Jan-14,1560.55,1561.05,1571.8,1555.15,1571.8,1565.9,1565.11,14456,22625173.65,439
BAJFINANCE,EQ,14-Jan-14,1565.9,1569.95,1569.95,1550.1,1552.25,1553.05,1560.17,3660,5710219.8,374
BAJFINANCE,EQ,15-Jan-14,1553.05,1554,1569.8,1532,1558,1554.9,1556.83,63626,99055156.05,4494
BAJFINANCE,EQ,16-Jan-14,1554.9,1555,1604,1548.8,1575,1584.05,1570.9,36055,56638687.7,1897
BAJFINANCE,EQ,17-Jan-14,1584.05,1568,1584,1535,1570.1,1573.75,1567.65,19083,29915371.1,1112
BAJFINANCE,EQ,20-Jan-14,1573.75,1580,1594,1551.05,1568.7,1569.5,1574.08,9000,14166755.85,1415
BAJFINANCE,EQ,21-Jan-14,1569.5,1570,1600,1567.8,1595,1596.85,1587.69,11414,18121886.85,1374
BAJFINANCE,EQ,22-Jan-14,1596.85,1601,1610,1565.15,1584,1573.5,1576.32,10618,16737327.15,2291
BAJFINANCE,EQ,23-Jan-14,1573.5,1585,1585,1550.1,1570,1574.35,1568.91,6934,10878814.4,991
BAJFINANCE,EQ,24-Jan-14,1574.35,1584.9,1584.9,1534.3,1554,1550.55,1546.73,17340,26820219.8,1344
BAJFINANCE,EQ,27-Jan-14,1550.55,1545,1545,1472,1512,1491.75,1497.83,16899,25311768.3,3083
BAJFINANCE,EQ,28-Jan-14,1491.75,1476.85,1548,1475,1531,1535.75,1502.48,23832,35807059.55,2751
BAJFINANCE,EQ,29-Jan-14,1535.75,1545,1558.65,1496.2,1507,1512.2,1529.97,4131,6320300.9,837
BAJFINANCE,EQ,30-Jan-14,1512.2,1485.95,1508.8,1485,1495,1498.4,1492.84,50680,75656984.05,2474
BAJFINANCE,EQ,31-Jan-14,1498.4,1500.55,1555,1500,1539,1531.15,1516.74,7348,11145006.45,519
BAJFINANCE,EQ,03-Feb-14,1531.15,1544,1544,1482.05,1495.5,1492.4,1493.42,9839,14693737.35,2154
BAJFINANCE,EQ,04-Feb-14,1492.4,1512.85,1524.3,1475,1480,1481.3,1495.31,5159,7714316.25,711
BAJFINANCE,EQ,05-Feb-14,1481.3,1489.4,1510,1475.5,1486.5,1484.3,1498.19,4978,7457989.7,544
BAJFINANCE,EQ,06-Feb-14,1484.3,1515,1515,1475.95,1479.95,1483.15,1496.49,13154,19684784.9,1149
BAJFINANCE,EQ,07-Feb-14,1483.15,1499.95,1501,1480.05,1486.1,1493.9,1495.4,3056,4569935.05,293
BAJFINANCE,EQ,10-Feb-14,1493.9,1502,1519.95,1478.05,1495,1485.75,1487.64,3291,4895821.1,217
BAJFINANCE,EQ,11-Feb-14,1485.75,1498.95,1500,1460,1463.9,1465.6,1475.89,1682,2482444.95,396
BAJFINANCE,EQ,12-Feb-14,1465.6,1480,1495,1470.25,1494,1481.9,1478.64,11936,17649026.95,437
BAJFINANCE,EQ,13-Feb-14,1481.9,1467.15,1498.9,1467.15,1489,1482.2,1484.56,8386,12449516.1,592
BAJFINANCE,EQ,14-Feb-14,1482.2,1482.25,1495,1461,1470,1475.4,1478.88,3107,4594881.4,501
BAJFINANCE,EQ,17-Feb-14,1475.4,1475.05,1512.4,1475.05,1506,1503.85,1500.87,15060,22603163,1305
BAJFINANCE,EQ,18-Feb-14,1503.85,1551,1578,1506,1560,1557.45,1547.6,85356,132096937.3,3119
BAJFINANCE,EQ,19-Feb-14,1557.45,1551.05,1551.05,1534.8,1540,1540.2,1541.15,7453,11486199.35,630
BAJFINANCE,EQ,20-Feb-14,1540.2,1545,1547.8,1493.2,1496.4,1512.3,1523.31,7910,12049395.15,1147
BAJFINANCE,EQ,21-Feb-14,1512.3,1505.1,1540,1501.05,1521,1529.65,1523.41,10910,16620397.95,965
BAJFINANCE,EQ,24-Feb-14,1529.65,1529.7,1550,1516.35,1529.8,1526.3,1535.35,5861,8998663.1,2284
BAJFINANCE,EQ,25-Feb-14,1526.3,1512,1556,1512,1550.25,1553.35,1549.17,59585,92307106.5,2390
BAJFINANCE,EQ,26-Feb-14,1553.35,1560,1565,1525.5,1549.95,1547.9,1552.88,8926,13861018.9,2101
BAJFINANCE,EQ,28-Feb-14,1547.9,1555,1585,1549.95,1575.05,1571.5,1565.36,16071,25156844.05,2271
BAJFINANCE,EQ,03-Mar-14,1571.5,1578.95,1594,1565.05,1582.15,1588.95,1589.82,150684,239560472.1,1485
BAJFINANCE,EQ,04-Mar-14,1588.95,1572,1590,1572,1585,1585.1,1584.8,8819,13976368.35,1204
BAJFINANCE,EQ,05-Mar-14,1585.1,1585,1596.8,1550,1550,1557.6,1583.73,18326,29023358.55,1613
BAJFINANCE,EQ,06-Mar-14,1557.6,1562.1,1647.05,1561,1610,1616.4,1610.52,53133,85571786.7,4332
BAJFINANCE,EQ,07-Mar-14,1616.4,1620.05,1645,1586.6,1640,1636.7,1631.82,46824,76408438.25,3810
BAJFINANCE,EQ,10-Mar-14,1636.7,1636.7,1675,1622.7,1670,1672.1,1664.39,69025,114884732.8,3327
BAJFINANCE,EQ,11-Mar-14,1672.1,1670.75,1713.05,1669.15,1699.8,1694.7,1694.53,30364,51452732.7,4078
BAJFINANCE,EQ,12-Mar-14,1694.7,1696,1708.8,1685,1685,1690.75,1699.98,9448,16061427.25,1059
